"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.09.2025","142.349","141.612","143.182","141.612","7,14B","0,52%"
"09.09.2025","141.618","141.794","142.286","141.605","7,48B","-0,12%"
"08.09.2025","141.792","142.640","143.089","141.329","7,44B","-0,59%"
"05.09.2025","142.640","141.003","143.409","141.003","8,38B","1,17%"
"04.09.2025","140.993","139.832","141.482","139.832","8,03B","0,81%"
"03.09.2025","139.864","140.332","140.496","139.582","7,58B","-0,34%"
"02.09.2025","140.335","141.279","141.279","139.625","8,79B","-0,67%"
"01.09.2025","141.283","141.423","141.950","140.878","4,95B","-0,10%"
"29.08.2025","141.422","141.049","142.379","141.000","9,33B","0,26%"
"28.08.2025","141.049","139.206","142.138","139.206","9,29B","1,32%"
"27.08.2025","139.206","137.773","139.281","137.456","6,61B","1,04%"
"26.08.2025","137.771","138.026","138.037","137.058","8,45B","-0,18%"
"25.08.2025","138.025","137.971","138.890","137.971","5,99B","0,04%"
"22.08.2025","137.968","134.511","138.072","134.511","9,32B","2,57%"
"21.08.2025","134.511","134.664","134.837","133.874","6,52B","-0,12%"
"20.08.2025","134.666","134.430","134.964","134.122","6,85B","0,17%"
"19.08.2025","134.432","137.321","137.321","133.997","8,68B","-2,10%"
"18.08.2025","137.322","136.341","137.902","136.341","8,09B","0,72%"
"15.08.2025","136.341","136.354","136.431","135.583","9,29B","-0,01%"
"14.08.2025","136.356","136.681","137.437","135.588","9,67B","-0,24%"
"13.08.2025","136.687","137.911","137.913","136.535","9,40B","-0,89%"
"12.08.2025","137.914","135.629","138.414","135.629","8,34B","1,69%"
"11.08.2025","135.623","135.913","136.307","135.496","6,95B","-0,21%"
"08.08.2025","135.913","136.526","136.761","135.659","9,89B","-0,45%"
"07.08.2025","136.528","134.538","137.007","134.533","9,50B","1,48%"
"06.08.2025","134.538","133.169","135.241","133.169","8,68B","1,04%"
"05.08.2025","133.151","132.971","134.233","132.682","6,61B","0,14%"
"04.08.2025","132.971","132.440","133.929","132.440","6,14B","0,40%"
"01.08.2025","132.437","132.920","133.237","132.140","8,50B","-0,48%"
"31.07.2025","133.071","133.987","133.987","132.096","9,20B","-0,69%"
"30.07.2025","133.990","132.702","134.368","131.883","8,66B","0,95%"
"29.07.2025","132.726","132.130","133.346","132.130","6,32B","0,45%"
"28.07.2025","132.129","133.538","133.902","131.550","6,63B","-1,04%"
"25.07.2025","133.524","133.820","134.204","133.285","5,56B","-0,21%"
"24.07.2025","133.808","135.357","135.363","133.648","5,98B","-1,15%"
"23.07.2025","135.368","134.036","135.782","133.676","6,53B","0,99%"
"22.07.2025","134.036","134.180","135.300","133.986","7,05B","-0,10%"
"21.07.2025","134.167","133.382","134.865","133.367","6,73B","0,59%"
"18.07.2025","133.382","135.562","135.562","133.296","10,07B","-1,61%"
"17.07.2025","135.565","135.515","135.792","135.016","6,80B","0,04%"
"16.07.2025","135.511","135.250","135.641","134.265","7,83B","0,19%"
"15.07.2025","135.250","135.298","136.022","134.380","6,90B","-0,04%"
"14.07.2025","135.299","136.187","136.187","134.840","7,33B","-0,65%"
"11.07.2025","136.187","136.742","136.742","135.528","7,40B","-0,41%"
"10.07.2025","136.743","137.472","137.472","136.014","9,57B","-0,54%"
"09.07.2025","137.481","139.303","139.331","137.299","7,58B","-1,31%"
"08.07.2025","139.303","139.491","139.591","138.770","6,75B","-0,13%"
"07.07.2025","139.490","141.265","141.342","139.295","6,12B","-1,26%"
"04.07.2025","141.264","140.928","141.564","140.597","3,31B","0,24%"
"03.07.2025","140.928","139.051","141.304","139.051","6,08B","1,35%"
"02.07.2025","139.051","139.586","140.049","138.384","8,81B","-0,36%"
"01.07.2025","139.549","138.855","139.695","138.855","6,35B","0,50%"
"30.06.2025","138.855","136.865","139.103","136.430","7,68B","1,45%"
"27.06.2025","136.866","137.113","137.209","136.469","6,24B","-0,18%"
"26.06.2025","137.114","135.767","137.353","135.756","8,02B","0,99%"
"25.06.2025","135.767","137.163","137.163","135.565","7,71B","-1,02%"
"24.06.2025","137.165","136.552","138.156","136.254","8,08B","0,45%"
"23.06.2025","136.551","137.116","137.130","135.835","7,73B","-0,41%"
"20.06.2025","137.116","138.715","138.719","136.815","11,29B","-1,15%"
"18.06.2025","138.717","138.844","139.161","138.443","8,32B","-0,09%"
"17.06.2025","138.840","139.256","139.497","138.293","8,38B","-0,30%"
"16.06.2025","139.256","137.212","139.988","137.212","7,62B","1,49%"
"13.06.2025","137.213","137.800","137.800","136.586","8,63B","-0,43%"
"12.06.2025","137.800","137.127","137.931","136.175","7,12B","0,49%"
"11.06.2025","137.128","136.443","137.531","135.628","8,77B","0,51%"
"10.06.2025","136.436","135.716","137.369","135.716","8,19B","0,54%"
"09.06.2025","135.699","136.102","136.106","134.119","7,76B","-0,30%"
"06.06.2025","136.102","136.236","136.890","135.601","9,12B","-0,10%"
"05.06.2025","136.236","137.003","137.451","136.031","9,48B","-0,56%"
"04.06.2025","137.002","137.547","138.797","136.695","10,20B","-0,40%"
"03.06.2025","137.546","136.787","137.672","136.175","9,70B","0,56%"
"02.06.2025","136.787","137.026","138.471","136.483","9,10B","-0,18%"
"30.05.2025","137.027","138.546","138.637","136.726","15,14B","-1,09%"
"29.05.2025","138.534","138.869","139.108","137.993","8,83B","-0,25%"
"28.05.2025","138.888","139.541","139.547","138.580","9,73B","-0,47%"
"27.05.2025","139.541","138.136","140.382","138.136","11,19B","1,02%"
"26.05.2025","138.136","137.824","138.800","137.795","5,55B","0,23%"
"23.05.2025","137.824","137.273","137.824","134.997","10,68B","0,40%"
"22.05.2025","137.273","137.881","138.837","137.088","13,22B","-0,44%"
"21.05.2025","137.881","140.109","140.109","137.538","10,15B","-1,59%"
"20.05.2025","140.110","139.636","140.244","138.966","9,65B","0,34%"
"19.05.2025","139.636","139.186","140.203","138.587","9,59B","0,32%"
"16.05.2025","139.187","139.335","139.335","137.713","12,11B","-0,11%"
"15.05.2025","139.334","138.425","139.408","138.321","11,50B","0,66%"
"14.05.2025","138.423","138.965","139.362","138.228","11,16B","-0,39%"
"13.05.2025","138.963","136.565","139.419","136.550","13,07B","1,76%"
"12.05.2025","136.563","136.516","137.519","136.356","10,92B","0,04%"
"09.05.2025","136.512","136.232","137.286","136.105","13,88B","0,21%"
"08.05.2025","136.232","133.458","137.635","133.458","17,20B","2,12%"
"07.05.2025","133.398","133.517","134.110","132.872","9,94B","-0,09%"
"06.05.2025","133.516","133.499","134.135","133.260","11,14B","0,02%"
"05.05.2025","133.491","135.131","135.198","133.390","10,80B","-1,22%"
"02.05.2025","135.134","135.067","135.275","134.355","12,74B","0,05%"
"30.04.2025","135.067","135.094","135.171","133.955","15,45B","-0,02%"
"29.04.2025","135.093","135.017","136.150","134.899","12,76B","0,06%"
"28.04.2025","135.016","134.741","135.709","134.711","11,45B","0,21%"
"25.04.2025","134.739","134.579","134.992","134.186","13,05B","0,12%"
"24.04.2025","134.580","132.245","134.938","132.223","14,11B","1,79%"
"23.04.2025","132.216","130.468","133.318","130.468","11,34B","1,34%"
"22.04.2025","130.464","129.650","130.877","128.726","8,61B","0,63%"
"17.04.2025","129.650","128.316","130.091","127.973","9,98B","1,04%"
"16.04.2025","128.317","129.245","129.605","128.149","11,54B","-0,72%"
"15.04.2025","129.245","129.452","129.927","128.951","8,84B","-0,16%"
"14.04.2025","129.454","127.683","129.955","127.683","10,61B","1,39%"
"11.04.2025","127.682","126.355","128.386","126.078","10,08B","1,05%"
"10.04.2025","126.355","127.796","127.797","124.895","11,46B","-1,13%"
"09.04.2025","127.796","123.928","128.649","122.887","16,92B","3,12%"
"08.04.2025","123.932","125.588","127.652","123.454","12,81B","-1,32%"
"07.04.2025","125.588","127.229","128.411","123.876","14,05B","-1,31%"
"04.04.2025","127.256","131.139","131.139","126.466","13,18B","-2,96%"
"03.04.2025","131.141","131.185","132.552","130.182","12,33B","-0,04%"
"02.04.2025","131.190","131.151","131.424","130.393","8,82B","0,03%"
"01.04.2025","131.147","130.267","131.982","130.081","8,97B","0,68%"
"31.03.2025","130.260","131.900","131.901","130.115","9,99B","-1,25%"
"28.03.2025","131.902","133.143","133.143","131.315","8,91B","-0,94%"
"27.03.2025","133.149","132.522","133.904","132.479","10,02B","0,47%"
"26.03.2025","132.520","132.069","132.984","132.068","9,40B","0,34%"
"25.03.2025","132.068","131.327","133.471","131.325","9,24B","0,57%"
"24.03.2025","131.321","132.344","132.424","130.992","8,30B","-0,77%"
"21.03.2025","132.345","132.005","132.588","131.776","14,19B","0,30%"
"20.03.2025","131.955","132.505","132.713","131.813","14,19B","-0,42%"
"19.03.2025","132.508","131.476","132.984","131.451","12,20B","0,79%"
"18.03.2025","131.475","130.832","131.834","130.722","10,99B","0,49%"
"17.03.2025","130.834","128.959","131.313","128.957","11,06B","1,46%"
"14.03.2025","128.957","125.647","129.194","125.647","14,57B","2,64%"
"13.03.2025","125.637","123.863","125.774","123.590","11,26B","1,43%"
"12.03.2025","123.864","123.507","124.048","122.969","8,25B","0,29%"
"11.03.2025","123.507","124.519","124.625","122.636","8,81B","-0,81%"
"10.03.2025","124.519","125.031","125.031","123.471","9,37B","-0,41%"
"07.03.2025","125.035","123.357","125.822","122.530","9,98B","1,36%"
"06.03.2025","123.358","123.048","124.112","122.681","10,06B","0,25%"
"05.03.2025","123.047","122.799","123.364","122.747","9,60B","0,20%"
"28.02.2025","122.799","124.798","124.916","122.659","24,87B","-1,60%"
"27.02.2025","124.799","124.768","125.497","124.352","12,55B","0,02%"
"26.02.2025","124.769","125.980","126.563","124.732","11,36B","-0,96%"
